ticker,company_name,cik,sector,quarter_end_date,fiscal_year,fiscal_quarter,revenue,net_income,total_assets,total_liabilities,stockholders_equity,shares_outstanding,close_price_asof,cpi_level,cpi_yoy,unemployment_rate,book_value_per_share,earnings_per_share,market_cap,roe,roa,debt_to_assets,profit_margin,price_to_book,price_to_earnings,pb_quarter_median,valuation_label
SLB,Schlumberger NV,87347,Energy,2021-06-30,2021,Q2,5634000000.0,431000000.0,40908000000.0,27849000000.0,12762000000.0,1398433008.0,31.2694,271.696,5.391451413321335,5.9,9.125928755251463,0.3082021073118148,43728161100.3552,0.03377213602883561,0.010535836511195855,0.6807714872396597,0.07649982250621229,3.4264348143202636,101.45745034885198,5.3275210694343125,0
SLB,Schlumberger NV,87347,Energy,2021-09-30,2021,Q3,5847000000.0,550000000.0,41038000000.0,27373000000.0,13362000000.0,1402632586.0,29.082,274.31,5.390348855079163,4.7,9.526372147181814,0.39211979351519216,40791360866.052,0.04116150276904655,0.013402212583459232,0.6670159364491447,0.09406533264922182,3.0527885695294117,74.1661106655491,5.356488849415659,0
SLB,Schlumberger NV,87347,Energy,2021-12-31,2021,Q4,22929000000.0,1881000000.0,41511000000.0,26225000000.0,15004000000.0,1403381685.0,29.511,278.802,7.036402865545144,3.9,10.69131809283944,1.3403338664776718,41415196906.034996,0.125366568914956,0.045313290453132905,0.6317602563176026,0.08203584979720005,2.7602770531881498,22.017648541220094,6.068687512555233,0
SLB,Schlumberger NV,87347,Energy,2022-03-31,2022,Q1,5962000000.0,510000000.0,41967000000.0,26328000000.0,15347000000.0,1413460705.0,40.8313,287.504,8.542455554842432,3.7,10.857747898976788,0.3608165392896437,57713438084.0665,0.03323125040724571,0.012152405461433985,0.6273500607620273,0.08554176450855418,3.760568064381736,113.1636040864049,5.748991667128938,0
SLB,Schlumberger NV,87347,Energy,2022-06-30,2022,Q2,6773000000.0,959000000.0,42827000000.0,26202000000.0,16325000000.0,1414388264.0,35.4744,296.311,9.059757964784154,3.6,11.542092376976907,0.6780316440747842,50174575032.441605,0.05874425727411945,0.022392415999252808,0.6118103065822962,0.1415916137605197,3.0734808595676326,52.31968199420397,4.975265847338239,0
SLB,Schlumberger NV,87347,Energy,2022-09-30,2022,Q3,7477000000.0,907000000.0,44093000000.0,26582000000.0,17199000000.0,1417993775.0,35.7777,296.808,8.20166964383362,3.5,12.129108253666347,0.6396360943121912,50732555883.817505,0.05273562416419559,0.020570158528564624,0.6028621323112512,0.12130533636485222,2.9497386989835164,55.93446073188259,4.616246946307841,0
SLB,Schlumberger NV,87347,Energy,2022-12-31,2022,Q4,28091000000.0,3441000000.0,43135000000.0,25146000000.0,17685000000.0,1420188492.0,53.46,296.797,6.45440133141082,3.5,12.452572387130708,2.4229178164612253,75923276782.32,0.19457167090754876,0.07977280630578416,0.5829604729338125,0.12249474920793137,4.2930888765801525,22.06430595243243,5.217984107747642,0
SLB,Schlumberger NV,87347,Energy,2023-03-31,2023,Q1,7736000000.0,934000000.0,43855000000.0,25475000000.0,18068000000.0,1425330904.0,49.1,301.836,4.984974122099173,3.5,12.676354627051571,0.6552864302449728,69983747386.40001,0.05169360194819571,0.021297457530498234,0.5808915745068978,0.12073422957600827,3.8733532978968346,74.929065724197,5.255772836896516,0
SLB,Schlumberger NV,87347,Energy,2023-06-30,2023,Q2,8099000000.0,1033000000.0,44826000000.0,25892000000.0,18608000000.0,1421186016.0,49.12,305.109,2.969177654558885,3.6,13.093289541627463,0.7268577008007937,69808657105.92,0.05551375752364574,0.023044661580332842,0.5776112077811985,0.12754661069267811,3.751540042235597,67.57856447814133,5.089275487695701,0
SLB,Schlumberger NV,87347,Energy,2023-09-30,2023,Q3,8310000000.0,1123000000.0,45813000000.0,26106000000.0,19386000000.0,1423420641.0,58.3,307.789,3.69969812134443,3.7,13.619305103220011,0.7889445801566116,82985423370.3,0.057928401939544,0.02451269290376094,0.569838255516993,0.13513838748495788,4.2806882993036215,73.89619178121104,5.150680337298695,0
